Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,-,83.03,-,10.39,18.92,
PEG,-,-,-,-,4.88,
Earnings per Share Growth,-,-,-,-,3.87%,
Dividend Cover,-0.36,-,-,-,5.01,
Revenue Per Share,196.96p,134.64p,161.94p,197.18p,224.81p,
Pre-Tax Profit per Share,-51.65p,-4.07p,-18.57p,26.96p,24.52p,
Operating Margin,-19.22%,4.17%,5.84%,10.74%,14.46%,
Return on Capital Employed,-95.56%,16.87%,52.27%,178.62%,86.58%,
Dividend Yield,132.03%,-,-,-,1.06%,
Dividend per Share Growth,574.59%,-,-,-,-,
Net Asset Value per Share (exc. Intangibles),-,-,-,-,-,
Net Gearing,-79.19%,-110.57%,-55.34%,-53.65%,48.57%,
