Ratios - based on IFRS,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,50.81,41.24,43.91,29.11,32.93,
PEG,-1.46,0.99,-2.40,0.94,-1.66,
Earnings per Share Growth,-34.75%,41.56%,-18.29%,30.86%,-19.84%,
Dividend Cover,1.85,2.22,1.53,1.74,0.18,
Revenue Per Share,151.94p,159.12p,185.51p,213.63p,215.04p,
Pre-Tax Profit per Share,11.92p,17.06p,14.34p,19.24p,15.74p,
Operating Margin,10.41%,11.72%,8.54%,11.63%,10.10%,
Return on Capital Employed,9.07%,9.50%,5.28%,7.18%,6.55%,
Dividend Yield,1.06%,1.09%,1.49%,1.97%,16.69%,
Dividend per Share Growth,-73.95%,558.15%,-18.32%,20.61%,15.09%,
Net Asset Value per Share (exc. Intangibles),-42.91p,-48.65p,-127.78p,-117.06p,-114.04p,
Net Gearing,84.85%,82.81%,67.31%,66.64%,75.29%,
