Ratios - based on IFRS What's this?,"07.03.20
(£m)","06.03.21
(£m)","05.03.22
(£m)","04.03.23
(£m)","02.03.24
(£m)",
PE Ratio,36.40,-,8.35,29.38,42.27,
PEG,-1.00,-,-,-0.42,-1.23,
Earnings per Share Growth,-36.26%,-,-,-69.80%,-34.44%,
Dividend Cover,1.76,-1.23,2.27,0.11,0.07,
Revenue Per Share,"1,316.93p","1,318.00p","1,319.53p","1,365.46p","1,404.40p",
Pre-Tax Profit per Share,11.58p,-11.84p,37.69p,14.18p,11.90p,
Operating Margin,2.24%,0.21%,3.87%,1.78%,1.63%,
Return on Capital Employed,6.75%,0.72%,13.80%,6.59%,6.68%,
Dividend Yield,1.56%,4.61%,5.27%,29.81%,32.53%,
Dividend per Share Growth,11.46%,-0.30%,-6.13%,29.10%,3.46%,
Net Asset Value per Share (exc. Intangibles),305.96p,257.02p,321.12p,264.80p,255.71p,
Net Gearing,3.89%,-7.13%,-0.76%,-9.14%,-11.53%,
