Ratios - based on IFRS,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,19.36,16.12,14.34,17.48,12.26,
PEG,-4.97,0.57,-0.17,-0.92,1.75,
Earnings per Share Growth,-3.90%,28.43%,-86.23%,-19.08%,7.02%,
Dividend Cover,1.51,1.81,1.41,1.14,1.23,
Revenue Per Share,943.00p,"1,119.81p",190.65p,191.72p,187.63p,
Pre-Tax Profit per Share,-,-,-,-,-,
Operating Margin,-,-,-,-,-,
Return on Capital Employed,-,-,-,-,-,
Dividend Yield,3.42%,3.43%,4.93%,5.00%,6.64%,
Dividend per Share Growth,-0.27%,7.31%,-82.38%,-,-0.27%,
Net Asset Value per Share (exc. Intangibles),989.31p,"1,103.50p",156.40p,161.30p,160.04p,
Net Gearing,-,-,-,-,-,
