Ratios - based on IFRS What's this?,"30.09.20
(£m)","30.09.21
(£m)","30.09.22
(£m)","30.09.23
(£m)","30.09.24
(£m)",
PE Ratio,25.40,26.95,27.37,47.66,31.92,
PEG,1.63,-3.87,-8.38,-2.57,0.59,
Earnings per Share Growth,15.57%,-6.97%,-3.27%,-18.53%,54.28%,
Dividend Cover,1.65,1.49,1.38,1.08,1.57,
Revenue Per Share,173.95p,170.93p,190.88p,214.12p,230.95p,
Pre-Tax Profit per Share,34.10p,32.13p,33.04p,27.65p,42.19p,
Operating Margin,21.23%,20.21%,18.85%,14.42%,19.38%,
Return on Capital Employed,16.72%,16.99%,16.74%,12.10%,18.02%,
Dividend Yield,2.39%,2.49%,2.64%,1.95%,2.00%,
Dividend per Share Growth,-0.14%,3.23%,1.11%,6.08%,4.46%,
Net Asset Value per Share (exc. Intangibles),-47.76p,-91.83p,-128.77p,-108.29p,-103.21p,
Net Gearing,4.00%,16.11%,46.89%,39.87%,67.52%,
