Ratios - based on IFRS,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,7.64,4.24,-,-,15.69,
PEG,0.14,0.02,-,-,-,
Earnings per Share Growth,56.07%,173.92%,-,-,-,
Dividend Cover,5.62,13.95,-6.07,-0.74,1.53,
Revenue Per Share,37.44p,45.59p,55.45p,61.39p,50.66p,
Pre-Tax Profit per Share,106.47p,325.12p,-151.09p,-15.33p,43.76p,
Operating Margin,291.73%,725.82%,-233.03%,-13.89%,96.30%,
Return on Capital Employed,11.58%,27.41%,-9.42%,-0.64%,3.94%,
Dividend Yield,2.33%,1.69%,3.44%,3.14%,4.18%,
Dividend per Share Growth,6.47%,10.26%,8.23%,5.70%,5.11%,
Net Asset Value per Share (exc. Intangibles),810.47p,"1,117.05p",939.70p,885.50p,887.80p,
Net Gearing,24.07%,-,-,45.60%,-,
