Ratios - based on IFRS,"31.07.20
(£m)","31.07.21
(£m)","31.07.22
(£m)","31.07.23
(£m)","31.07.24
(£m)",
PE Ratio,82.62,39.48,550.89,26.63,24.70,
PEG,4.73,5.29,2.02,-0.35,2.45,
Earnings per Share Growth,17.46%,7.47%,272.52%,-75.48%,10.08%,
Dividend Cover,0.47,1.05,0.07,1.53,0.75,
Revenue Per Share,641.36p,607.04p,663.60p,860.61p,902.99p,
Pre-Tax Profit per Share,33.48p,60.55p,26.64p,102.01p,107.25p,
Operating Margin,9.46%,13.55%,4.56%,13.27%,13.25%,
Return on Capital Employed,6.24%,8.56%,3.11%,12.09%,14.25%,
Dividend Yield,2.58%,2.42%,2.57%,2.45%,5.41%,
Dividend per Share Growth,-26.83%,48.31%,-24.04%,13.71%,3.66%,
Net Asset Value per Share (exc. Intangibles),204.18p,228.07p,307.13p,248.30p,205.45p,
Net Gearing,46.31%,40.63%,-0.33%,10.57%,8.97%,
