Ratios - based on IFRS What's this?,"31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.23
(£m)","31.03.24
(£m)",
PE Ratio,-,-,-,-,9.19,
PEG,-,-,-,-,-,
Earnings per Share Growth,7.68%,860.02%,-,-,-,
Dividend Cover,-,-,-49.67,-49.90,22.94,
Revenue Per Share,-,-,1.63p,-196.74p,104.25p,
Pre-Tax Profit per Share,66.00p,633.08p,-,-,-,
Operating Margin,-,-,-,-,-,
Return on Capital Employed,-,-,-,-,-,
Dividend Yield,0.57%,0.30%,0.35%,0.60%,0.47%,
Dividend per Share Growth,3.55%,5.52%,4.97%,-,3.13%,
Net Asset Value per Share (exc. Intangibles),-,-,"1,021.79p",816.84p,911.33p,
Net Gearing,-,-,-,-,-,
