Ratios - based on IFRS What's this?,"31.12.20
($m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
PE Ratio,40.03,29.20,52.21,45.35,26.26,
PEG,-1.57,1.73,-0.91,2.46,0.47,
Earnings per Share Growth,-25.42%,16.89%,-57.36%,18.43%,55.86%,
Dividend Cover,1.37,1.59,0.68,0.81,0.46,
Revenue Per Share,519.72¢,594.30¢,598.05¢,637.08¢,663.70¢,
Pre-Tax Profit per Share,26.44¢,65.79¢,43.12¢,36.74¢,56.89¢,
Operating Margin,6.47%,11.38%,8.63%,7.66%,11.31%,
Return on Capital Employed,3.64%,6.69%,5.37%,5.22%,7.76%,
Dividend Yield,1.83%,2.15%,2.82%,2.74%,8.36%,
Dividend per Share Growth,2.83%,0.27%,-,-,-0.96%,
Net Asset Value per Share (exc. Intangibles),98.63¢,134.24¢,113.59¢,127.53¢,138.04¢,
Net Gearing,36.52%,34.27%,45.16%,53.33%,51.32%,
