Ratios - based on IFRS,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,47.96,50.42,34.79,42.10,26.41,
PEG,12.53,1.42,-8.39,-2.31,7.02,
Earnings per Share Growth,3.83%,35.53%,-4.15%,-18.22%,3.76%,
Dividend Cover,2.00,2.34,2.01,1.56,1.57,
Revenue Per Share,"1,614.84p","1,824.29p","2,188.32p","2,286.14p","2,253.26p",
Pre-Tax Profit per Share,325.16p,426.73p,418.61p,332.20p,350.33p,
Operating Margin,20.86%,23.87%,19.79%,16.90%,18.29%,
Return on Capital Employed,18.81%,23.21%,17.58%,12.93%,13.95%,
Dividend Yield,1.04%,0.85%,1.43%,1.52%,2.41%,
Dividend per Share Growth,6.98%,15.57%,11.76%,5.26%,-88.02%,
Net Asset Value per Share (exc. Intangibles),206.63p,464.61p,-47.01p,37.48p,160.89p,
Net Gearing,27.96%,14.04%,60.27%,58.88%,50.74%,
