Ratios - based on IFRS,"31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.23
(£m)","31.03.24
(£m)",
PE Ratio,32.14,6.75,7.24,-,10.53,
PEG,-,-,0.23,-,-,
Earnings per Share Growth,-,-,31.37%,-,-,
Dividend Cover,0.51,2.66,2.82,-0.15,0.88,
Revenue Per Share,656.85p,655.82p,815.94p,"1,161.28p",955.18p,
Pre-Tax Profit per Share,41.89p,229.07p,319.66p,-80.69p,217.48p,
Operating Margin,11.90%,38.26%,42.35%,-6.47%,23.85%,
Return on Capital Employed,5.41%,17.15%,21.69%,-4.36%,12.63%,
Dividend Yield,6.13%,5.57%,4.90%,5.36%,10.76%,
Dividend per Share Growth,-5.93%,-9.35%,-4.67%,5.33%,-0.22%,
Net Asset Value per Share (exc. Intangibles),367.39p,559.90p,749.81p,780.13p,798.27p,
Net Gearing,195.64%,111.64%,84.24%,74.95%,73.26%,
