Ratios - based on IFRS,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,23.09,31.59,14.68,-,11.89,
PEG,0.30,3.57,0.37,-,-,
Earnings per Share Growth,77.41%,8.85%,39.96%,-,-,
Dividend Cover,1.28,1.03,1.41,-0.08,4.06,
Revenue Per Share,"1,506.84p","3,352.41p","-2,175.66p","3,472.21p","4,749.36p",
Pre-Tax Profit per Share,79.71p,156.67p,0.13p,80.28p,191.83p,
Operating Margin,5.29%,4.67%,-,2.36%,3.81%,
Return on Capital Employed,41.26%,75.48%,0.06%,40.08%,87.53%,
Dividend Yield,3.40%,3.09%,4.82%,3.49%,2.07%,
Dividend per Share Growth,-22.78%,35.37%,1.58%,-54.85%,-24.67%,
Net Asset Value per Share (exc. Intangibles),115.34p,124.08p,155.86p,111.78p,227.02p,
Net Gearing,-,-,-,-,-,
