Ratios - based on IFRS What's this?,"31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.23
(£m)","31.03.24
(£m)",
PE Ratio,34.18,25.88,-,54.63,48.43,
PEG,-0.68,0.76,-,-,-13.88,
Earnings per Share Growth,-50.14%,33.95%,-,-,-3.49%,
Dividend Cover,0.67,0.88,-0.34,0.57,0.20,
Revenue Per Share,772.46p,767.41p,783.90p,863.28p,848.24p,
Pre-Tax Profit per Share,149.80p,118.02p,111.46p,66.95p,73.03p,
Operating Margin,30.56%,25.96%,26.06%,23.50%,21.89%,
Return on Capital Employed,7.54%,6.15%,6.43%,6.25%,5.56%,
Dividend Yield,4.39%,4.41%,3.32%,3.19%,10.22%,
Dividend per Share Growth,9.73%,6.75%,-0.03%,-1.88%,15.17%,
Net Asset Value per Share (exc. Intangibles),419.62p,369.76p,396.69p,275.08p,513.11p,
Net Gearing,513.35%,576.07%,523.44%,748.96%,398.58%,
