Ratios - based on IFRS What's this?,"27.02.21
(£m)","26.02.22
(£m)","25.02.23
(£m)","24.02.24
(£m)","22.02.25
(£m)",
PE Ratio,29.74,14.43,24.28,11.28,15.98,
PEG,0.07,-0.21,-0.51,0.17,0.38,
Earnings per Share Growth,414.05%,-69.69%,-48.04%,66.57%,42.11%,
Dividend Cover,0.13,1.82,0.93,2.05,0.38,
Revenue Per Share,602.83p,803.25p,889.31p,963.43p,"1,025.72p",
Pre-Tax Profit per Share,8.32p,26.42p,13.42p,32.26p,32.55p,
Operating Margin,3.00%,4.17%,2.32%,4.14%,3.88%,
Return on Capital Employed,8.62%,12.03%,7.17%,14.70%,12.02%,
Dividend Yield,26.73%,3.80%,4.41%,4.33%,16.26%,
Dividend per Share Growth,428.35%,-55.61%,32.05%,-5.68%,10.90%,
Net Asset Value per Share (exc. Intangibles),89.89p,135.74p,94.54p,93.84p,97.66p,
Net Gearing,38.55%,32.27%,39.92%,41.80%,106.39%,
