Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,26.32,11.47,5.62,14.85,19.69,
PEG,-0.38,0.08,0.31,-0.33,-0.52,
Earnings per Share Growth,-69.50%,143.52%,18.30%,-45.30%,-37.54%,
Dividend Cover,-,1.85,2.00,1.03,0.66,
Revenue Per Share,80.16p,117.74p,123.99p,99.55p,95.86p,
Pre-Tax Profit per Share,7.37p,18.53p,22.78p,13.35p,9.03p,
Operating Margin,10.12%,16.29%,18.72%,13.31%,9.82%,
Return on Capital Employed,7.48%,16.37%,18.38%,10.15%,7.30%,
Dividend Yield,-,4.72%,8.91%,6.51%,7.75%,
Dividend per Share Growth,-,-,8.47%,8.09%,-4.49%,
Net Asset Value per Share (exc. Intangibles),110.18p,118.35p,127.56p,127.88p,124.40p,
Net Gearing,-17.75%,-19.24%,-19.02%,-14.79%,-12.59%,
