Ratios - based on IFRS,"31.12.20
(€m)","31.12.21
(€m)","31.12.22
(€m)","31.12.23
(€m)","31.12.24
(€m)",
PE Ratio,22.89,20.15,15.75,16.94,23.93,
PEG,-19.06,2.08,0.55,-1.21,-2.16,
Earnings per Share Growth,-1.20%,9.69%,28.76%,-14.00%,-11.10%,
Dividend Cover,0.68,1.60,2.03,0.77,0.69,
Revenue Per Share,"1,930.52c","2,017.15c","2,357.47c","2,369.09c","2,431.00c",
Pre-Tax Profit per Share,297.55c,321.74c,397.50c,371.20c,354.84c,
Operating Margin,16.35%,16.52%,14.02%,16.37%,15.47%,
Return on Capital Employed,20.85%,20.30%,18.47%,30.42%,49.22%,
Dividend Yield,6.40%,3.11%,3.13%,7.64%,6.08%,
Dividend per Share Growth,0.92%,3.89%,0.14%,0.93%,-0.18%,
Net Asset Value per Share (exc. Intangibles),-748.31c,-817.12c,-816.51c,-854.42c,-843.88c,
Net Gearing,127.39%,143.85%,119.37%,-,-,
