Ratios - based on IFRS,"31.12.18
(£m)","31.12.19
(£m)","31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)",
PE Ratio,8.88,-,-,12.93,10.24,
PEG,-1.88,-,-,-,2.93,
Earnings per Share Growth,-4.72%,-,-,-,3.49%,
Dividend Cover,3.13,-0.95,-2.49,3.89,2.72,
Revenue Per Share,49.45p,55.38p,56.38p,66.94p,64.89p,
Pre-Tax Profit per Share,57.81p,-72.26p,-28.37p,55.35p,69.47p,
Operating Margin,132.74%,-104.74%,-7.61%,100.67%,100.15%,
Return on Capital Employed,6.94%,-4.49%,-0.34%,5.59%,5.33%,
Dividend Yield,3.60%,2.63%,1.22%,1.99%,3.59%,
Dividend per Share Growth,27.75%,14.80%,-61.81%,73.81%,47.96%,
Net Asset Value per Share (exc. Intangibles),778.02p,838.52p,806.13p,879.79p,942.70p,
Net Gearing,22.62%,48.21%,-,-,-,
