Ratios - based on IFRS What's this?,"31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.23
(£m)","31.03.24
(£m)",
PE Ratio,57.50,13.92,-,35.33,55.32,
PEG,-0.81,0.04,-,-,-1.45,
Earnings per Share Growth,-70.62%,324.73%,-,-,-38.17%,
Dividend Cover,0.37,1.54,-0.19,0.66,0.11,
Revenue Per Share,271.92p,265.14p,273.16p,267.55p,285.11p,
Pre-Tax Profit per Share,49.91p,82.17p,64.77p,37.59p,24.86p,
Operating Margin,33.90%,33.30%,32.75%,24.16%,24.63%,
Return on Capital Employed,5.66%,5.31%,5.47%,4.04%,4.16%,
Dividend Yield,4.72%,4.67%,3.87%,4.29%,16.44%,
Dividend per Share Growth,-0.01%,10.45%,-1.84%,0.68%,5.72%,
Net Asset Value per Share (exc. Intangibles),406.68p,417.94p,410.13p,347.04p,283.27p,
Net Gearing,262.66%,252.42%,259.73%,322.68%,418.37%,
