Ratios - based on IFRS What's this?,"31.03.20
(€m)","31.03.21
(€m)","31.03.22
(€m)","31.03.23
(€m)","31.03.24
(€m)",
PE Ratio,-,406.05,20.46,2.38,18.53,
PEG,-,-,0.01,0.00,-0.21,
Earnings per Share Growth,-,-,"1,794.74%",494.03%,-90.18%,
Dividend Cover,-0.35,0.04,0.80,4.75,0.49,
Revenue Per Share,152.44c,148.04c,157.11c,165.12c,135.34c,
Pre-Tax Profit per Share,11.19c,13.71c,12.90c,44.74c,6.33c,
Operating Margin,14.68%,10.85%,11.96%,30.33%,10.24%,
Return on Capital Employed,5.24%,3.87%,4.98%,12.55%,3.28%,
Dividend Yield,7.05%,5.83%,6.11%,8.84%,10.92%,
Dividend per Share Growth,-42.55%,6.12%,-1.86%,-0.95%,1.11%,
Net Asset Value per Share (exc. Intangibles),29.46c,7.99c,5.09c,59.99c,77.97c,
Net Gearing,100.04%,85.92%,86.21%,57.47%,84.72%,
