Ratios - based on IFRS,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,-,20.96,13.19,73.11,16.45,
PEG,-,-,0.80,-0.88,0.04,
Earnings per Share Growth,-,-,16.48%,-83.44%,387.02%,
Dividend Cover,-10.13,1.71,1.58,0.26,0.17,
Revenue Per Share,978.74p,"1,072.03p","1,314.21p","1,384.65p","1,364.97p",
Pre-Tax Profit per Share,-216.46p,77.63p,111.14p,25.75p,92.13p,
Operating Margin,-18.98%,9.60%,9.41%,3.58%,8.99%,
Return on Capital Employed,-14.65%,9.16%,15.93%,6.34%,16.37%,
Dividend Yield,3.00%,2.79%,4.80%,5.23%,35.20%,
Dividend per Share Growth,-83.14%,161.22%,26.57%,19.57%,-39.60%,
Net Asset Value per Share (exc. Intangibles),-320.71p,-464.09p,-581.22p,-545.50p,-451.61p,
Net Gearing,14.35%,24.92%,67.36%,74.17%,55.54%,
