Ticker,Company Name,Currency,Market Cap (m),Price,Change,Change %
ENT,ENTAIN PLC ORD EUR0.01,GBX,"4,886.10",790.80,26.80,3.51%
AAF,AIRTEL AFRICA PLC ORD USD0.50,GBX,"6,194.20",174.60,5.50,3.25%
MNDI,MONDI PLC ORD EUR 0.22,GBX,"5,246.19","1,226.50",38.00,3.20%
MKS,MARKS & SPENCER GROUP PLC ORD 1P,GBX,"7,101.35",355.20,9.80,2.84%
BEZ,BEAZLEY PLC ORD 5P,GBX,"5,496.45",893.00,18.50,2.12%
RMV,RIGHTMOVE PLC ORD 0.1P,GBX,"5,629.54",738.80,15.20,2.10%
LLOY,LLOYDS BANKING GROUP PLC ORD 10P,GBX,"44,086.94",74.94,1.54,2.10%
HSX,HISCOX LD ORD 6.5P (DI),GBX,"3,881.09","1,172.00",23.00,2.00%
KGF,KINGFISHER PLC ORD 15 5/7P,GBX,"5,472.56",313.00,6.10,1.99%
ANTO,ANTOFAGASTA PLC ORD 5P,GBX,"18,124.98","1,874.50",36.00,1.96%
SGRO,SEGRO PLC ORD 10P,GBX,"8,769.92",660.20,12.20,1.88%
BA.,BAE SYSTEMS PLC ORD 2.5P,GBX,"50,511.23","1,701.00",27.50,1.64%
AUTO,AUTO TRADER GROUP PLC ORD 1P,GBX,"7,475.15",864.60,12.80,1.50%
GLEN,GLENCORE PLC ORD USD0.01,GBX,"32,386.76",273.75,4.00,1.48%
DCC,DCC PLC ORD EUR0.25 (CDI),GBX,"4,691.00","4,806.00",66.00,1.39%
III,3I GROUP PLC ORD 73 19/22P,GBX,"40,308.50","4,197.00",56.00,1.35%
NXT,NEXT PLC ORD 10P,GBX,"14,988.96","12,360.00",160.00,1.31%
REL,RELX PLC ORD 14 51/116P,GBX,"72,823.34","3,998.00",49.00,1.24%
SBRY,SAINSBURY(J) PLC ORD 28 4/7P,GBX,"6,390.87",277.60,3.20,1.17%
BARC,BARCLAYS PLC ORD 25P,GBX,"45,185.41",320.30,3.45,1.09%
SMT,SCOTTISH MORTGAGE INV TST PLC ORD 5P,GBX,"11,735.48","1,004.00",10.00,1.01%
UU.,UNITED UTILITIES GROUP PLC ORD 5P,GBX,"7,231.43","1,070.50",10.00,0.94%
NG.,NATIONAL GRID PLC ORD 12 204/473P,GBX,"49,331.20","1,015.50",9.00,0.89%
IMI,IMI PLC ORD 28 4/7P,GBX,"4,839.07","1,932.00",17.00,0.89%
CCH,COCA-COLA HBC AG ORD CHF6.70 (CDI),GBX,"13,708.58","3,804.00",32.00,0.85%
CTEC,CONVATEC GROUP PLC ORD 10P,GBX,"5,395.05",265.40,2.20,0.84%
IHG,INTERCONTINENTAL HOTELS GROUP PLC ORD 20 340/399P,GBX,"14,280.85","9,250.00",70.00,0.76%
LSEG,LONDON STOCK EXCHANGE GROUP PLC ORD SHS 6 79/86P,GBX,"59,553.10","11,350.00",85.00,0.75%
NWG,NATWEST GROUP PLC ORD 107.69P,GBX,"39,554.27",493.00,3.40,0.69%
SVT,SEVERN TRENT PLC ORD 97 17/19P,GBX,"7,733.55","2,592.00",16.00,0.62%
PCT,POLAR CAPITAL TECHNOLOGY TRUST PLC ORD 2.5P,GBX,"3,839.57",330.50,2.00,0.61%
SSE,SSE PLC ORD 50P,GBX,"18,602.86","1,691.00",9.50,0.56%
PSON,PEARSON PLC ORD 25P,GBX,"7,799.23","1,187.00",6.50,0.55%
ADM,ADMIRAL GROUP PLC ORD 0.1P,GBX,"10,163.19","3,336.00",18.00,0.54%
LMP,LONDONMETRIC PROPERTY PLC ORD 10P,GBX,"3,863.87",189.00,1.00,0.53%
BT.A,BT GROUP PLC ORD 5P,GBX,"16,075.31",162.30,0.85,0.53%
MNG,M&G PLC ORD £0.05,GBX,"5,215.59",218.00,1.10,0.51%
LGEN,LEGAL & GENERAL GROUP PLC ORD 2 1/2P,GBX,"13,933.21",240.30,1.20,0.50%
CNA,CENTRICA PLC ORD 6 14/81P,GBX,"7,269.83",146.55,0.70,0.48%
EZJ,EASYJET PLC ORD 27 2/7P,GBX,"4,123.57",546.60,2.60,0.48%
TSCO,TESCO PLC ORD 6 1/3P,GBX,"24,540.91",368.10,1.60,0.44%
PHNX,PHOENIX GROUP HOLDINGS PLC ORD 10P,GBX,"6,044.17",605.00,2.50,0.41%
JD.,JD SPORTS FASHION PLC ORD 0.05P,GBX,"4,630.78",90.02,0.28,0.31%
DGE,DIAGEO PLC ORD 28 101/108P,GBX,"47,131.46","2,122.00",4.00,0.19%
GSK,GSK PLC ORD 31 1/4P,GBX,"55,752.91","1,360.00",2.00,0.15%
STJ,ST.JAMES'S PLACE PLC ORD 15P,GBX,"5,860.02","1,096.50",1.00,0.09%
LAND,LAND SECURITIES GROUP PLC ORD 10 2/3P,GBX,"4,406.34",592.00,0.50,0.08%
ITRK,INTERTEK GROUP PLC ORD 1P,GBX,"7,886.22","4,938.00",2.00,0.04%
ULVR,UNILEVER PLC ORD 3 1/9P,GBX,"114,211.58","4,561.00",-6.00,-0.13%
WTB,WHITBREAD PLC ORD 76 122/153P,GBX,"5,029.95","2,848.00",-5.00,-0.18%
UTG,UNITE GROUP PLC ORD 25P,GBX,"3,954.44",807.50,-1.50,-0.19%
BATS,BRITISH AMERICAN TOBACCO PLC ORD 25P,GBX,"66,656.91","3,025.00",-6.00,-0.20%
HWDN,HOWDEN JOINERY GROUP PLC ORD 10P,GBX,"4,549.38",828.00,-2.00,-0.24%
SDR,SCHRODERS PLC ORD 20P,GBX,"5,631.05",348.60,-1.00,-0.29%
BAB,BABCOCK INTERNATIONAL GROUP PLC ORD 60P,GBX,"4,171.17",822.50,-2.50,-0.30%
HIK,HIKMA PHARMACEUTICALS PLC ORD SHS 10P,GBX,"4,320.13","1,941.00",-6.00,-0.31%
RTO,RENTOKIL INITIAL PLC ORD 1P,GBX,"8,830.84",348.70,-1.10,-0.31%
SHEL,SHELL PLC ORD EUR0.07,GBX,"150,510.95","2,514.50",-8.00,-0.32%
WPP,WPP PLC ORD 10P,GBX,"6,585.01",608.40,-2.00,-0.33%
RIO,RIO TINTO PLC ORD 10P,GBX,"58,933.09","4,684.00",-15.50,-0.33%
ALW,ALLIANCE WITAN PLC ORD 2.5P,GBX,"4,794.36","1,202.00",-4.00,-0.33%
AV.,AVIVA PLC ORD 32 17/19P,GBX,"15,376.86",572.00,-2.20,-0.38%
HLN,HALEON PLC ORD GBP0.01,GBX,"35,686.85",394.40,-1.60,-0.40%
GAW,GAMES WORKSHOP GROUP PLC ORD 5P,GBX,"5,140.29","15,520.00",-70.00,-0.45%
BP.,BP PLC $0.25,GBX,"61,023.62",381.00,-1.75,-0.46%
RR.,ROLLS-ROYCE HOLDINGS PLC ORD SHS 20P,GBX,"67,842.03",797.00,-4.00,-0.50%
RKT,RECKITT BENCKISER GROUP PLC ORD 10P,GBX,"32,564.40","4,753.00",-25.00,-0.52%
HSBA,HSBC HLDGS PLC ORD $0.50 (UK REG),GBX,"154,529.57",871.10,-5.00,-0.57%
SMIN,SMITHS GROUP PLC ORD 37.5P,GBX,"6,793.75","2,022.00",-12.00,-0.59%
FCIT,F&C INVESTMENT TRUST PLC ORD 25P,GBX,"5,301.65","1,093.00",-7.00,-0.64%
PRU,PRUDENTIAL PLC ORD 5P,GBX,"22,758.62",868.00,-5.80,-0.66%
SGE,THE SAGE GROUP PLC ORD 1 4/77P,GBX,"12,618.61","1,279.50",-9.00,-0.70%
VOD,VODAFONE GROUP PLC ORD USD0.20 20/21,GBX,"17,110.95",68.34,-0.50,-0.73%
HLMA,HALMA PLC ORD 10P,GBX,"11,351.40","2,968.00",-22.00,-0.74%
BNZL,BUNZL PLC ORD 32 1/7P,GBX,"8,255.28","2,500.00",-20.00,-0.79%
INF,INFORMA PLC ORD 0.1P,GBX,"10,572.79",798.60,-6.40,-0.80%
SN.,SMITH & NEPHEW PLC ORD USD0.20,GBX,"9,337.53","1,056.50",-9.50,-0.89%
PSH,PERSHING SQUARE HOLDINGS LTD ORD NPV,GBX,"6,808.91","3,746.00",-36.00,-0.95%
STAN,STANDARD CHARTERED PLC ORD USD0.50,GBX,"27,254.87","1,144.50",-11.00,-0.95%
ABF,ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P,GBX,"15,111.40","2,068.00",-22.00,-1.05%
WEIR,WEIR GROUP PLC ORD 12.5P,GBX,"6,344.92","2,418.00",-26.00,-1.06%
